
 START: 1/5 

Iteration 2 completed | Delta llk: 13519.392404 | Time: 0.24 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 884.644700 | Time: 2.73 sec
Iteration 3 completed | Delta llk: 136.178188 | Time: 0.52 sec
Iteration 4 completed | Delta llk: 54.537687 | Time: 0.75 sec
Iteration 5 completed | Delta llk: 20.003397 | Time: 0.42 sec
Iteration 6 completed | Delta llk: 7.425682 | Time: 0.25 sec
Iteration 7 completed | Delta llk: 3.421209 | Time: 0.22 sec
Iteration 8 completed | Delta llk: 1.957385 | Time: 0.20 sec
Iteration 9 completed | Delta llk: 1.225133 | Time: 0.50 sec
Iteration 10 completed | Delta llk: 0.778106 | Time: 2.09 sec
Iteration 11 completed | Delta llk: 0.487144 | Time: 0.30 sec
Iteration 12 completed | Delta llk: 0.304675 | Time: 1.25 sec
Iteration 13 completed | Delta llk: 0.188148 | Time: 0.47 sec
Iteration 14 completed | Delta llk: 0.115071 | Time: 0.21 sec
Iteration 15 completed | Delta llk: 0.070775 | Time: 0.51 sec
Iteration 16 completed | Delta llk: 0.043349 | Time: 0.26 sec
Iteration 17 completed | Delta llk: 0.025946 | Time: 0.21 sec
Iteration 18 completed | Delta llk: 0.015981 | Time: 0.20 sec
Iteration 19 completed | Delta llk: 0.009334 | Time: 0.40 sec
Iteration 20 completed | Delta llk: 0.006287 | Time: 0.21 sec
Iteration 21 completed | Delta llk: 0.003719 | Time: 0.22 sec
Iteration 22 completed | Delta llk: 0.002482 | Time: 0.22 sec
Iteration 23 completed | Delta llk: 0.001718 | Time: 0.12 sec
Iteration 24 completed | Delta llk: 0.000818 | Time: 0.12 sec
Iteration 25 completed | Delta llk: 0.000415 | Time: 0.10 sec
Iteration 26 completed | Delta llk: 0.000216 | Time: 0.07 sec
Iteration 27 completed | Delta llk: 0.000178 | Time: 0.10 sec
Iteration 28 completed | Delta llk: 0.000134 | Time: 0.15 sec
Iteration 29 completed | Delta llk: -0.000019 | Time: 0.10 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 9876.601366 | Time: 0.24 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1245.246121 | Time: 2.49 sec
Iteration 3 completed | Delta llk: 196.651075 | Time: 0.52 sec
Iteration 4 completed | Delta llk: 76.835591 | Time: 0.35 sec
Iteration 5 completed | Delta llk: 31.131098 | Time: 1.34 sec
Iteration 6 completed | Delta llk: 11.806725 | Time: 0.30 sec
Iteration 7 completed | Delta llk: 4.367048 | Time: 0.47 sec
Iteration 8 completed | Delta llk: 1.678867 | Time: 0.24 sec
Iteration 9 completed | Delta llk: 0.698738 | Time: 0.23 sec
Iteration 10 completed | Delta llk: 0.306609 | Time: 0.25 sec
Iteration 11 completed | Delta llk: 0.163311 | Time: 0.25 sec
Iteration 12 completed | Delta llk: 0.089658 | Time: 0.25 sec
Iteration 13 completed | Delta llk: 0.049996 | Time: 0.26 sec
Iteration 14 completed | Delta llk: 0.029436 | Time: 0.19 sec
Iteration 15 completed | Delta llk: 0.021729 | Time: 0.21 sec
Iteration 16 completed | Delta llk: 0.013354 | Time: 0.13 sec
Iteration 17 completed | Delta llk: 0.010527 | Time: 0.15 sec
Iteration 18 completed | Delta llk: 0.008068 | Time: 0.16 sec
Iteration 19 completed | Delta llk: 0.006468 | Time: 0.15 sec
Iteration 20 completed | Delta llk: 0.005450 | Time: 0.15 sec
Iteration 21 completed | Delta llk: 0.004499 | Time: 0.15 sec
Iteration 22 completed | Delta llk: 0.002034 | Time: 0.04 sec
Iteration 23 completed | Delta llk: 0.001169 | Time: 0.04 sec
Iteration 24 completed | Delta llk: 0.004163 | Time: 0.23 sec
Iteration 25 completed | Delta llk: 0.001458 | Time: 0.04 sec
Iteration 26 completed | Delta llk: 0.001355 | Time: 0.04 sec
Iteration 27 completed | Delta llk: 0.002054 | Time: 0.13 sec
Iteration 28 completed | Delta llk: 0.000707 | Time: 0.05 sec
Iteration 29 completed | Delta llk: 0.000413 | Time: 0.04 sec
Iteration 30 completed | Delta llk: 0.000321 | Time: 0.05 sec
Iteration 31 completed | Delta llk: 0.000148 | Time: 0.05 sec
Iteration 32 completed | Delta llk: 0.001468 | Time: 0.15 sec
Iteration 33 completed | Delta llk: 0.000411 | Time: 0.05 sec
Iteration 34 completed | Delta llk: 0.000544 | Time: 0.05 sec
Iteration 35 completed | Delta llk: 0.000296 | Time: 0.07 sec
Iteration 36 completed | Delta llk: 0.000142 | Time: 0.05 sec
Iteration 37 completed | Delta llk: 0.000146 | Time: 0.04 sec
Iteration 38 completed | Delta llk: 0.000132 | Time: 0.04 sec
Iteration 39 completed | Delta llk: 0.000120 | Time: 0.04 sec
Iteration 40 completed | Delta llk: 0.000115 | Time: 0.04 sec
Iteration 41 completed | Delta llk: 0.000054 | Time: 0.04 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 2844.971597 | Time: 0.19 sec
Iteration 3 completed | Delta llk: 29.376268 | Time: 0.13 sec
Iteration 4 completed | Delta llk: 0.941736 | Time: 0.20 sec
Iteration 5 completed | Delta llk: 0.879070 | Time: 0.29 sec
Iteration 6 completed | Delta llk: 0.944573 | Time: 0.20 sec
Iteration 7 completed | Delta llk: 1.165020 | Time: 0.19 sec
Iteration 8 completed | Delta llk: 1.618804 | Time: 0.21 sec
Iteration 9 completed | Delta llk: 2.381070 | Time: 0.24 sec
Iteration 10 completed | Delta llk: 2.788983 | Time: 0.23 sec
Iteration 11 completed | Delta llk: 2.925782 | Time: 0.23 sec
Iteration 12 completed | Delta llk: 3.362150 | Time: 0.33 sec
Iteration 13 completed | Delta llk: 3.884599 | Time: 0.26 sec
Iteration 14 completed | Delta llk: 4.279524 | Time: 0.27 sec
Iteration 15 completed | Delta llk: 4.401351 | Time: 0.28 sec
Iteration 16 completed | Delta llk: 4.330254 | Time: 0.25 sec
Iteration 17 completed | Delta llk: 4.055465 | Time: 0.24 sec
Iteration 18 completed | Delta llk: 3.721401 | Time: 0.24 sec
Iteration 19 completed | Delta llk: 3.385161 | Time: 0.33 sec
Iteration 20 completed | Delta llk: 3.108762 | Time: 0.24 sec
Iteration 21 completed | Delta llk: 2.829940 | Time: 0.25 sec
Iteration 22 completed | Delta llk: 2.643441 | Time: 0.18 sec
Iteration 23 completed | Delta llk: -17.275985 | Time: 0.12 sec
Iteration 24 completed | Delta llk: 18.791390 | Time: 0.24 sec
Iteration 25 completed | Delta llk: 3.607871 | Time: 0.24 sec
Iteration 26 completed | Delta llk: 2.578689 | Time: 0.27 sec
Iteration 27 completed | Delta llk: 2.087713 | Time: 0.25 sec
Iteration 28 completed | Delta llk: 1.811964 | Time: 0.24 sec
Iteration 29 completed | Delta llk: 1.651380 | Time: 0.45 sec
Iteration 30 completed | Delta llk: 1.472287 | Time: 0.23 sec
Iteration 31 completed | Delta llk: 1.383159 | Time: 0.23 sec
Iteration 32 completed | Delta llk: 1.287841 | Time: 0.25 sec
Iteration 33 completed | Delta llk: 1.202307 | Time: 0.26 sec
Iteration 34 completed | Delta llk: 1.124152 | Time: 0.25 sec
Iteration 35 completed | Delta llk: -18.984841 | Time: 0.13 sec
Iteration 36 completed | Delta llk: 17.530857 | Time: 0.26 sec
Iteration 37 completed | Delta llk: 3.011212 | Time: 0.27 sec
Iteration 38 completed | Delta llk: 1.594739 | Time: 0.25 sec
Iteration 39 completed | Delta llk: 1.093383 | Time: 0.27 sec
Iteration 40 completed | Delta llk: 0.879325 | Time: 0.24 sec
Iteration 41 completed | Delta llk: 0.776625 | Time: 0.33 sec
Iteration 42 completed | Delta llk: 0.730317 | Time: 0.42 sec
Iteration 43 completed | Delta llk: 0.639947 | Time: 0.24 sec
Iteration 44 completed | Delta llk: 0.622801 | Time: 0.23 sec
Iteration 45 completed | Delta llk: 0.587716 | Time: 0.24 sec
Iteration 46 completed | Delta llk: 0.555128 | Time: 0.24 sec
Iteration 47 completed | Delta llk: 0.525209 | Time: 0.25 sec
Iteration 48 completed | Delta llk: 0.495370 | Time: 0.23 sec
Iteration 49 completed | Delta llk: 0.494347 | Time: 0.26 sec
Iteration 50 completed | Delta llk: 0.441382 | Time: 0.26 sec
Iteration 51 completed | Delta llk: 0.419787 | Time: 0.27 sec
Iteration 52 completed | Delta llk: 0.402444 | Time: 0.26 sec
Iteration 53 completed | Delta llk: 0.381929 | Time: 0.25 sec
Iteration 54 completed | Delta llk: 0.359680 | Time: 0.26 sec
Iteration 55 completed | Delta llk: 0.342112 | Time: 0.27 sec
Iteration 56 completed | Delta llk: 0.324595 | Time: 0.25 sec
Iteration 57 completed | Delta llk: 0.314909 | Time: 0.26 sec
Iteration 58 completed | Delta llk: 0.297770 | Time: 0.31 sec
Iteration 59 completed | Delta llk: 0.284218 | Time: 0.28 sec
Iteration 60 completed | Delta llk: 0.269786 | Time: 0.26 sec
Iteration 61 completed | Delta llk: 0.257747 | Time: 0.25 sec
Iteration 62 completed | Delta llk: 0.245801 | Time: 0.25 sec
Iteration 63 completed | Delta llk: 0.234499 | Time: 0.25 sec
Iteration 64 completed | Delta llk: 0.223801 | Time: 0.23 sec
Iteration 65 completed | Delta llk: 0.213666 | Time: 0.24 sec
Iteration 66 completed | Delta llk: 0.204059 | Time: 0.23 sec
Iteration 67 completed | Delta llk: 0.194951 | Time: 0.27 sec
Iteration 68 completed | Delta llk: 0.186230 | Time: 0.31 sec
Iteration 69 completed | Delta llk: 0.178086 | Time: 0.20 sec
Iteration 70 completed | Delta llk: 0.170283 | Time: 0.19 sec
Iteration 71 completed | Delta llk: 0.162846 | Time: 0.27 sec
Iteration 72 completed | Delta llk: 0.155777 | Time: 0.22 sec
Iteration 73 completed | Delta llk: 0.149055 | Time: 0.21 sec
Iteration 74 completed | Delta llk: 0.142619 | Time: 0.19 sec
Iteration 75 completed | Delta llk: 0.136550 | Time: 0.19 sec
Iteration 76 completed | Delta llk: 0.130735 | Time: 0.26 sec
Iteration 77 completed | Delta llk: 0.126115 | Time: 0.19 sec
Iteration 78 completed | Delta llk: 0.118983 | Time: 0.18 sec
Iteration 79 completed | Delta llk: 0.114862 | Time: 0.20 sec
Iteration 80 completed | Delta llk: 0.110053 | Time: 0.21 sec
Iteration 81 completed | Delta llk: 0.105437 | Time: 0.18 sec
Iteration 82 completed | Delta llk: 0.101066 | Time: 0.19 sec
Iteration 83 completed | Delta llk: 0.096878 | Time: 0.19 sec
Iteration 84 completed | Delta llk: 0.092877 | Time: 0.19 sec
Iteration 85 completed | Delta llk: 0.089047 | Time: 0.18 sec
Iteration 86 completed | Delta llk: 0.085387 | Time: 0.19 sec
Iteration 87 completed | Delta llk: 0.081888 | Time: 0.19 sec
Iteration 88 completed | Delta llk: 0.078541 | Time: 0.17 sec
Iteration 89 completed | Delta llk: 0.075338 | Time: 0.17 sec
Iteration 90 completed | Delta llk: 0.072261 | Time: 0.19 sec
Iteration 91 completed | Delta llk: 0.069369 | Time: 0.17 sec
Iteration 92 completed | Delta llk: 0.066546 | Time: 0.17 sec
Iteration 93 completed | Delta llk: 0.063857 | Time: 0.18 sec
Iteration 94 completed | Delta llk: 0.061295 | Time: 0.18 sec
Iteration 95 completed | Delta llk: 0.058834 | Time: 0.17 sec
Iteration 96 completed | Delta llk: 0.056465 | Time: 0.17 sec
Iteration 97 completed | Delta llk: 0.054207 | Time: 0.16 sec
Iteration 98 completed | Delta llk: 0.052051 | Time: 0.16 sec
Iteration 99 completed | Delta llk: 0.049966 | Time: 0.26 sec
Iteration 100 completed | Delta llk: 0.047979 | Time: 0.18 sec
Iteration 101 completed | Delta llk: 0.046075 | Time: 0.19 sec
Iteration 102 completed | Delta llk: 0.044258 | Time: 0.17 sec
Iteration 103 completed | Delta llk: 0.042494 | Time: 0.18 sec
Iteration 104 completed | Delta llk: 0.040817 | Time: 0.28 sec
Iteration 105 completed | Delta llk: 0.039215 | Time: 0.18 sec
Iteration 106 completed | Delta llk: 0.037677 | Time: 0.17 sec
Iteration 107 completed | Delta llk: 0.036201 | Time: 0.17 sec
Iteration 108 completed | Delta llk: 0.034787 | Time: 0.18 sec
Iteration 109 completed | Delta llk: 0.033423 | Time: 0.24 sec
Iteration 110 completed | Delta llk: 0.032107 | Time: 0.15 sec
Iteration 111 completed | Delta llk: 0.030846 | Time: 0.17 sec
Iteration 112 completed | Delta llk: 0.029644 | Time: 0.21 sec
Iteration 113 completed | Delta llk: 0.028506 | Time: 0.17 sec
Iteration 114 completed | Delta llk: 0.027399 | Time: 0.18 sec
Iteration 115 completed | Delta llk: 0.026332 | Time: 0.18 sec
Iteration 116 completed | Delta llk: 0.025320 | Time: 0.17 sec
Iteration 117 completed | Delta llk: 0.024344 | Time: 0.17 sec
Iteration 118 completed | Delta llk: 0.023401 | Time: 0.17 sec
Iteration 119 completed | Delta llk: 0.022495 | Time: 0.17 sec
