
 START: 1/5 

Iteration 2 completed | Delta llk: 2761.971428 | Time: 4.74 sec
Iteration 3 completed | Delta llk: 231.925049 | Time: 5.06 sec
Iteration 4 completed | Delta llk: 78.255015 | Time: 1.40 sec
Iteration 5 completed | Delta llk: 35.100723 | Time: 1.08 sec
Iteration 6 completed | Delta llk: 24.491205 | Time: 0.99 sec
Iteration 7 completed | Delta llk: 22.007336 | Time: 1.42 sec
Iteration 8 completed | Delta llk: 21.927328 | Time: 1.07 sec
Iteration 9 completed | Delta llk: 21.112228 | Time: 1.15 sec
Iteration 10 completed | Delta llk: 17.164413 | Time: 1.20 sec
Iteration 11 completed | Delta llk: 10.578871 | Time: 1.32 sec
Iteration 12 completed | Delta llk: 4.861094 | Time: 2.69 sec
Iteration 13 completed | Delta llk: 1.814073 | Time: 1.31 sec
Iteration 14 completed | Delta llk: 0.615166 | Time: 1.07 sec
Iteration 15 completed | Delta llk: 0.205127 | Time: 2.77 sec
Iteration 16 completed | Delta llk: 0.070006 | Time: 2.10 sec
Iteration 17 completed | Delta llk: 0.023998 | Time: 1.03 sec
Iteration 18 completed | Delta llk: 0.009159 | Time: 0.69 sec
Iteration 19 completed | Delta llk: 0.004248 | Time: 0.53 sec
Iteration 20 completed | Delta llk: 0.001202 | Time: 0.29 sec
Iteration 21 completed | Delta llk: 0.000424 | Time: 0.32 sec
Iteration 22 completed | Delta llk: 0.000050 | Time: 0.11 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 4592.298002 | Time: 3.51 sec
Iteration 3 completed | Delta llk: 180.281744 | Time: 1.09 sec
Iteration 4 completed | Delta llk: 93.863334 | Time: 1.74 sec
Iteration 5 completed | Delta llk: 113.972963 | Time: 4.80 sec
Iteration 6 completed | Delta llk: 130.200339 | Time: 5.25 sec
Iteration 7 completed | Delta llk: 131.020494 | Time: 5.03 sec
Iteration 8 completed | Delta llk: 84.196353 | Time: 4.43 sec
Iteration 9 completed | Delta llk: 25.736116 | Time: 2.10 sec
Iteration 10 completed | Delta llk: 7.877421 | Time: 4.36 sec
Iteration 11 completed | Delta llk: 3.223564 | Time: 1.11 sec
Iteration 12 completed | Delta llk: 1.398686 | Time: 2.86 sec
Iteration 13 completed | Delta llk: 0.596192 | Time: 1.11 sec
Iteration 14 completed | Delta llk: 0.248795 | Time: 1.03 sec
Iteration 15 completed | Delta llk: 0.102293 | Time: 0.97 sec
Iteration 16 completed | Delta llk: 0.041660 | Time: 1.30 sec
Iteration 17 completed | Delta llk: 0.017657 | Time: 0.88 sec
Iteration 18 completed | Delta llk: 0.006316 | Time: 0.62 sec
Iteration 19 completed | Delta llk: 0.002613 | Time: 0.53 sec
Iteration 20 completed | Delta llk: 0.001023 | Time: 0.28 sec
Iteration 21 completed | Delta llk: 0.000141 | Time: 0.10 sec
Iteration 22 completed | Delta llk: 0.000058 | Time: 0.10 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 2477.906283 | Time: 0.82 sec
Iteration 3 completed | Delta llk: 75.730094 | Time: 1.57 sec
Iteration 4 completed | Delta llk: 38.066142 | Time: 1.71 sec
Iteration 5 completed | Delta llk: 21.362511 | Time: 1.09 sec
Iteration 6 completed | Delta llk: 13.171848 | Time: 3.36 sec
Iteration 7 completed | Delta llk: 8.945632 | Time: 2.98 sec
Iteration 8 completed | Delta llk: 6.682113 | Time: 1.82 sec
Iteration 9 completed | Delta llk: 5.329545 | Time: 1.38 sec
Iteration 10 completed | Delta llk: 4.440372 | Time: 1.53 sec
Iteration 11 completed | Delta llk: 3.791621 | Time: 1.28 sec
Iteration 12 completed | Delta llk: 3.296712 | Time: 1.34 sec
Iteration 13 completed | Delta llk: 2.889838 | Time: 1.26 sec
Iteration 14 completed | Delta llk: 2.554875 | Time: 1.68 sec
Iteration 15 completed | Delta llk: 2.272368 | Time: 3.83 sec
Iteration 16 completed | Delta llk: 2.029659 | Time: 2.60 sec
Iteration 17 completed | Delta llk: 1.820257 | Time: 2.19 sec
Iteration 18 completed | Delta llk: 1.638128 | Time: 3.96 sec
Iteration 19 completed | Delta llk: 1.478743 | Time: 2.71 sec
Iteration 20 completed | Delta llk: 1.338557 | Time: 2.20 sec
Iteration 21 completed | Delta llk: 1.214796 | Time: 1.92 sec
Iteration 22 completed | Delta llk: 1.105112 | Time: 1.77 sec
Iteration 23 completed | Delta llk: 1.007587 | Time: 4.07 sec
Iteration 24 completed | Delta llk: 0.920624 | Time: 3.59 sec
Iteration 25 completed | Delta llk: 0.842866 | Time: 3.44 sec
Iteration 26 completed | Delta llk: 0.773171 | Time: 3.16 sec
Iteration 27 completed | Delta llk: 0.710541 | Time: 2.87 sec
Iteration 28 completed | Delta llk: 0.654146 | Time: 2.62 sec
Iteration 29 completed | Delta llk: 0.603243 | Time: 2.30 sec
Iteration 30 completed | Delta llk: 0.557202 | Time: 2.17 sec
Iteration 31 completed | Delta llk: 0.515458 | Time: 1.99 sec
