
 START: 1/5 

Iteration 2 completed | Delta llk: 13752.070301 | Time: 0.28 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 931.359083 | Time: 0.49 sec
Iteration 3 completed | Delta llk: 82.250976 | Time: 0.24 sec
Iteration 4 completed | Delta llk: 39.954736 | Time: 0.22 sec
Iteration 5 completed | Delta llk: 18.218706 | Time: 0.22 sec
Iteration 6 completed | Delta llk: 8.770532 | Time: 0.22 sec
Iteration 7 completed | Delta llk: 5.497738 | Time: 0.27 sec
Iteration 8 completed | Delta llk: 4.585801 | Time: 0.26 sec
Iteration 9 completed | Delta llk: 4.322189 | Time: 0.23 sec
Iteration 10 completed | Delta llk: 4.081604 | Time: 0.24 sec
Iteration 11 completed | Delta llk: 3.689186 | Time: 0.25 sec
Iteration 12 completed | Delta llk: 3.155621 | Time: 0.24 sec
Iteration 13 completed | Delta llk: 2.565514 | Time: 2.21 sec
Iteration 14 completed | Delta llk: 2.011305 | Time: 0.77 sec
Iteration 15 completed | Delta llk: 1.542282 | Time: 0.38 sec
Iteration 16 completed | Delta llk: 1.175057 | Time: 0.30 sec
Iteration 17 completed | Delta llk: 0.898816 | Time: 0.41 sec
Iteration 18 completed | Delta llk: 0.693816 | Time: 0.29 sec
Iteration 19 completed | Delta llk: 0.541106 | Time: 0.24 sec
Iteration 20 completed | Delta llk: 0.425854 | Time: 0.25 sec
Iteration 21 completed | Delta llk: 0.337610 | Time: 0.27 sec
Iteration 22 completed | Delta llk: 0.269096 | Time: 0.24 sec
Iteration 23 completed | Delta llk: 0.216724 | Time: 0.90 sec
Iteration 24 completed | Delta llk: 0.174056 | Time: 0.54 sec
Iteration 25 completed | Delta llk: 0.140062 | Time: 0.32 sec
Iteration 26 completed | Delta llk: 0.112214 | Time: 0.29 sec
Iteration 27 completed | Delta llk: 0.091240 | Time: 1.28 sec
Iteration 28 completed | Delta llk: 0.072773 | Time: 0.54 sec
Iteration 29 completed | Delta llk: 0.058201 | Time: 0.34 sec
Iteration 30 completed | Delta llk: 0.047737 | Time: 0.32 sec
Iteration 31 completed | Delta llk: 0.039268 | Time: 0.33 sec
Iteration 32 completed | Delta llk: 0.032898 | Time: 0.28 sec
Iteration 33 completed | Delta llk: 0.025121 | Time: 0.22 sec
Iteration 34 completed | Delta llk: 0.021605 | Time: 0.28 sec
Iteration 35 completed | Delta llk: 0.010985 | Time: 0.04 sec
Iteration 36 completed | Delta llk: 0.016744 | Time: 0.29 sec
Iteration 37 completed | Delta llk: 0.010857 | Time: 0.20 sec
Iteration 38 completed | Delta llk: 0.008378 | Time: 0.11 sec
Iteration 39 completed | Delta llk: 0.007593 | Time: 0.13 sec
Iteration 40 completed | Delta llk: 0.006149 | Time: 0.17 sec
Iteration 41 completed | Delta llk: 0.003459 | Time: 0.04 sec
Iteration 42 completed | Delta llk: 0.003939 | Time: 0.11 sec
Iteration 43 completed | Delta llk: 0.003058 | Time: 0.08 sec
Iteration 44 completed | Delta llk: 0.002940 | Time: 0.12 sec
Iteration 45 completed | Delta llk: 0.002341 | Time: 0.10 sec
Iteration 46 completed | Delta llk: 0.001397 | Time: 0.04 sec
Iteration 47 completed | Delta llk: 0.001730 | Time: 0.12 sec
Iteration 48 completed | Delta llk: 0.001175 | Time: 0.04 sec
Iteration 49 completed | Delta llk: 0.001061 | Time: 0.07 sec
Iteration 50 completed | Delta llk: 0.000468 | Time: 0.04 sec
Iteration 51 completed | Delta llk: 0.000237 | Time: 0.04 sec
Iteration 52 completed | Delta llk: 0.000126 | Time: 0.04 sec
Iteration 53 completed | Delta llk: 0.000877 | Time: 0.15 sec
Iteration 54 completed | Delta llk: 0.000231 | Time: 0.04 sec
Iteration 55 completed | Delta llk: 0.000442 | Time: 0.08 sec
Iteration 56 completed | Delta llk: 0.000255 | Time: 0.04 sec
Iteration 57 completed | Delta llk: 0.000065 | Time: 0.05 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 10048.086263 | Time: 0.22 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1221.255064 | Time: 2.47 sec
Iteration 3 completed | Delta llk: 188.473110 | Time: 0.41 sec
Iteration 4 completed | Delta llk: 69.037012 | Time: 0.28 sec
Iteration 5 completed | Delta llk: 25.307970 | Time: 0.47 sec
Iteration 6 completed | Delta llk: 8.752534 | Time: 1.46 sec
Iteration 7 completed | Delta llk: 3.069004 | Time: 0.37 sec
Iteration 8 completed | Delta llk: 1.178300 | Time: 0.33 sec
Iteration 9 completed | Delta llk: 0.527485 | Time: 0.29 sec
Iteration 10 completed | Delta llk: 0.280554 | Time: 0.26 sec
Iteration 11 completed | Delta llk: 0.174407 | Time: 0.27 sec
Iteration 12 completed | Delta llk: 0.121264 | Time: 0.24 sec
Iteration 13 completed | Delta llk: 0.090343 | Time: 0.33 sec
Iteration 14 completed | Delta llk: 0.069984 | Time: 0.27 sec
Iteration 15 completed | Delta llk: 0.054015 | Time: 0.30 sec
Iteration 16 completed | Delta llk: 0.044596 | Time: 0.32 sec
Iteration 17 completed | Delta llk: 0.036535 | Time: 0.31 sec
Iteration 18 completed | Delta llk: 0.028710 | Time: 0.19 sec
Iteration 19 completed | Delta llk: 0.025146 | Time: 0.29 sec
Iteration 20 completed | Delta llk: 0.019510 | Time: 0.16 sec
Iteration 21 completed | Delta llk: 0.015605 | Time: 0.13 sec
Iteration 22 completed | Delta llk: 0.012198 | Time: 0.21 sec
Iteration 23 completed | Delta llk: 0.008225 | Time: 0.20 sec
Iteration 24 completed | Delta llk: 0.007369 | Time: 0.17 sec
Iteration 25 completed | Delta llk: 0.006172 | Time: 0.13 sec
Iteration 26 completed | Delta llk: 0.004457 | Time: 0.13 sec
Iteration 27 completed | Delta llk: 0.003573 | Time: 0.15 sec
Iteration 28 completed | Delta llk: 0.002966 | Time: 0.15 sec
Iteration 29 completed | Delta llk: 0.001393 | Time: 0.04 sec
Iteration 30 completed | Delta llk: 0.002327 | Time: 0.15 sec
Iteration 31 completed | Delta llk: 0.001965 | Time: 0.25 sec
Iteration 32 completed | Delta llk: 0.001134 | Time: 0.08 sec
Iteration 33 completed | Delta llk: 0.001431 | Time: 0.15 sec
Iteration 34 completed | Delta llk: 0.000580 | Time: 0.05 sec
Iteration 35 completed | Delta llk: 0.001177 | Time: 0.17 sec
Iteration 36 completed | Delta llk: 0.000506 | Time: 0.04 sec
Iteration 37 completed | Delta llk: 0.000662 | Time: 0.09 sec
Iteration 38 completed | Delta llk: 0.000293 | Time: 0.04 sec
Iteration 39 completed | Delta llk: 0.000098 | Time: 0.04 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 2797.647785 | Time: 0.14 sec
Iteration 3 completed | Delta llk: 36.116439 | Time: 0.15 sec
Iteration 4 completed | Delta llk: 1.765721 | Time: 0.18 sec
Iteration 5 completed | Delta llk: 1.679769 | Time: 0.20 sec
Iteration 6 completed | Delta llk: 1.715262 | Time: 0.20 sec
Iteration 7 completed | Delta llk: 1.821563 | Time: 0.19 sec
Iteration 8 completed | Delta llk: 1.978088 | Time: 0.18 sec
Iteration 9 completed | Delta llk: 2.166834 | Time: 0.19 sec
Iteration 10 completed | Delta llk: 2.376352 | Time: 0.26 sec
Iteration 11 completed | Delta llk: 2.603250 | Time: 0.21 sec
Iteration 12 completed | Delta llk: 2.849891 | Time: 0.23 sec
Iteration 13 completed | Delta llk: 3.124057 | Time: 0.24 sec
Iteration 14 completed | Delta llk: 3.447665 | Time: 0.26 sec
Iteration 15 completed | Delta llk: 3.777158 | Time: 0.29 sec
Iteration 16 completed | Delta llk: 4.167387 | Time: 0.45 sec
Iteration 17 completed | Delta llk: 5.470570 | Time: 0.14 sec
Iteration 18 completed | Delta llk: 5.599152 | Time: 0.26 sec
Iteration 19 completed | Delta llk: 3.949182 | Time: 0.25 sec
Iteration 20 completed | Delta llk: 3.297659 | Time: 0.26 sec
Iteration 21 completed | Delta llk: 2.843401 | Time: 0.32 sec
Iteration 22 completed | Delta llk: 2.510615 | Time: 0.25 sec
Iteration 23 completed | Delta llk: 2.211697 | Time: 0.26 sec
Iteration 24 completed | Delta llk: 1.963499 | Time: 0.24 sec
Iteration 25 completed | Delta llk: 1.750381 | Time: 0.24 sec
Iteration 26 completed | Delta llk: 1.566570 | Time: 0.24 sec
Iteration 27 completed | Delta llk: 1.407413 | Time: 0.25 sec
Iteration 28 completed | Delta llk: 1.269093 | Time: 0.25 sec
Iteration 29 completed | Delta llk: 1.148507 | Time: 0.24 sec
Iteration 30 completed | Delta llk: 1.043140 | Time: 0.25 sec
Iteration 31 completed | Delta llk: 0.950652 | Time: 0.24 sec
Iteration 32 completed | Delta llk: 0.868530 | Time: 0.25 sec
Iteration 33 completed | Delta llk: 0.797053 | Time: 0.26 sec
Iteration 34 completed | Delta llk: 0.736371 | Time: 0.24 sec
Iteration 35 completed | Delta llk: 0.678345 | Time: 0.25 sec
Iteration 36 completed | Delta llk: 0.626894 | Time: 0.27 sec
Iteration 37 completed | Delta llk: 0.582316 | Time: 0.25 sec
Iteration 38 completed | Delta llk: 0.543246 | Time: 0.24 sec
Iteration 39 completed | Delta llk: 0.506562 | Time: 0.30 sec
Iteration 40 completed | Delta llk: 0.472210 | Time: 0.29 sec
Iteration 41 completed | Delta llk: 0.443946 | Time: 0.25 sec
Iteration 42 completed | Delta llk: 0.420357 | Time: 0.26 sec
Iteration 43 completed | Delta llk: 0.396421 | Time: 0.26 sec
Iteration 44 completed | Delta llk: 0.370639 | Time: 0.26 sec
Iteration 45 completed | Delta llk: 0.350682 | Time: 0.25 sec
Iteration 46 completed | Delta llk: 0.329985 | Time: 0.24 sec
Iteration 47 completed | Delta llk: 0.314662 | Time: 0.24 sec
Iteration 48 completed | Delta llk: 0.299448 | Time: 0.28 sec
Iteration 49 completed | Delta llk: 0.285017 | Time: 0.26 sec
Iteration 50 completed | Delta llk: 0.271830 | Time: 0.32 sec
Iteration 51 completed | Delta llk: 0.259574 | Time: 0.25 sec
Iteration 52 completed | Delta llk: 0.248176 | Time: 0.26 sec
Iteration 53 completed | Delta llk: 0.237556 | Time: 0.27 sec
Iteration 54 completed | Delta llk: 0.227631 | Time: 0.26 sec
Iteration 55 completed | Delta llk: 0.218344 | Time: 0.25 sec
Iteration 56 completed | Delta llk: 0.209635 | Time: 0.33 sec
Iteration 57 completed | Delta llk: 0.201453 | Time: 0.25 sec
Iteration 58 completed | Delta llk: 0.193750 | Time: 0.26 sec
Iteration 59 completed | Delta llk: 0.186812 | Time: 0.25 sec
Iteration 60 completed | Delta llk: 0.179279 | Time: 0.25 sec
Iteration 61 completed | Delta llk: 0.173805 | Time: 0.25 sec
Iteration 62 completed | Delta llk: 0.165729 | Time: 0.25 sec
Iteration 63 completed | Delta llk: 0.161678 | Time: 0.25 sec
Iteration 64 completed | Delta llk: 0.175967 | Time: 0.39 sec
Iteration 65 completed | Delta llk: 0.129416 | Time: 0.23 sec
Iteration 66 completed | Delta llk: 0.166246 | Time: 0.38 sec
Iteration 67 completed | Delta llk: 0.120182 | Time: 0.24 sec
Iteration 68 completed | Delta llk: 0.156909 | Time: 0.39 sec
Iteration 69 completed | Delta llk: 0.111729 | Time: 0.24 sec
Iteration 70 completed | Delta llk: 0.126036 | Time: 0.24 sec
Iteration 71 completed | Delta llk: 0.145058 | Time: 0.47 sec
Iteration 72 completed | Delta llk: 0.119279 | Time: 0.39 sec
Iteration 73 completed | Delta llk: 0.113007 | Time: 0.50 sec
Iteration 74 completed | Delta llk: 0.091253 | Time: 0.25 sec
Iteration 75 completed | Delta llk: 0.110524 | Time: 0.31 sec
Iteration 76 completed | Delta llk: 0.104379 | Time: 0.26 sec
Iteration 77 completed | Delta llk: 0.119775 | Time: 0.38 sec
Iteration 78 completed | Delta llk: 0.077115 | Time: 0.29 sec
Iteration 79 completed | Delta llk: 0.097398 | Time: 0.24 sec
Iteration 80 completed | Delta llk: 0.091610 | Time: 0.24 sec
Iteration 81 completed | Delta llk: 0.090937 | Time: 0.24 sec
Iteration 82 completed | Delta llk: 0.087277 | Time: 0.24 sec
Iteration 83 completed | Delta llk: 0.100620 | Time: 0.34 sec
Iteration 84 completed | Delta llk: 0.066323 | Time: 0.24 sec
Iteration 85 completed | Delta llk: 0.100896 | Time: 0.33 sec
Iteration 86 completed | Delta llk: 0.056040 | Time: 0.24 sec
Iteration 87 completed | Delta llk: 0.075213 | Time: 0.24 sec
Iteration 88 completed | Delta llk: 0.072682 | Time: 0.24 sec
Iteration 89 completed | Delta llk: 0.070661 | Time: 0.24 sec
Iteration 90 completed | Delta llk: 0.068426 | Time: 0.31 sec
Iteration 91 completed | Delta llk: 0.066433 | Time: 0.28 sec
Iteration 92 completed | Delta llk: 0.064517 | Time: 0.24 sec
Iteration 93 completed | Delta llk: 0.062361 | Time: 0.33 sec
