
 START: 1/5 

Iteration 2 completed | Delta llk: 13635.635358 | Time: 0.19 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 932.527299 | Time: 1.47 sec
Iteration 3 completed | Delta llk: 95.556788 | Time: 0.33 sec
Iteration 4 completed | Delta llk: 50.083540 | Time: 0.25 sec
Iteration 5 completed | Delta llk: 23.471513 | Time: 0.25 sec
Iteration 6 completed | Delta llk: 10.675867 | Time: 0.26 sec
Iteration 7 completed | Delta llk: 5.823685 | Time: 0.26 sec
Iteration 8 completed | Delta llk: 4.357957 | Time: 0.24 sec
Iteration 9 completed | Delta llk: 4.010117 | Time: 0.23 sec
Iteration 10 completed | Delta llk: 3.891327 | Time: 0.23 sec
Iteration 11 completed | Delta llk: 3.695243 | Time: 0.27 sec
Iteration 12 completed | Delta llk: 3.348858 | Time: 0.23 sec
Iteration 13 completed | Delta llk: 2.883196 | Time: 2.50 sec
Iteration 14 completed | Delta llk: 2.372229 | Time: 0.96 sec
Iteration 15 completed | Delta llk: 1.909328 | Time: 0.52 sec
Iteration 16 completed | Delta llk: 1.462714 | Time: 0.30 sec
Iteration 17 completed | Delta llk: 1.127452 | Time: 0.42 sec
Iteration 18 completed | Delta llk: 0.867593 | Time: 0.27 sec
Iteration 19 completed | Delta llk: 0.669500 | Time: 1.60 sec
Iteration 20 completed | Delta llk: 0.519033 | Time: 0.29 sec
Iteration 21 completed | Delta llk: 0.403510 | Time: 0.32 sec
Iteration 22 completed | Delta llk: 0.316001 | Time: 0.26 sec
Iteration 23 completed | Delta llk: 0.247918 | Time: 1.34 sec
Iteration 24 completed | Delta llk: 0.195081 | Time: 0.61 sec
Iteration 25 completed | Delta llk: 0.153890 | Time: 0.35 sec
Iteration 26 completed | Delta llk: 0.122239 | Time: 0.29 sec
Iteration 27 completed | Delta llk: 0.096802 | Time: 0.95 sec
Iteration 28 completed | Delta llk: 0.076759 | Time: 0.43 sec
Iteration 29 completed | Delta llk: 0.062077 | Time: 0.37 sec
Iteration 30 completed | Delta llk: 0.045817 | Time: 0.32 sec
Iteration 31 completed | Delta llk: 0.036366 | Time: 0.44 sec
Iteration 32 completed | Delta llk: 0.032356 | Time: 0.34 sec
Iteration 33 completed | Delta llk: 0.022864 | Time: 0.25 sec
Iteration 34 completed | Delta llk: 0.011986 | Time: 0.04 sec
Iteration 35 completed | Delta llk: 0.019720 | Time: 0.26 sec
Iteration 36 completed | Delta llk: 0.012140 | Time: 0.28 sec
Iteration 37 completed | Delta llk: 0.010223 | Time: 0.24 sec
Iteration 38 completed | Delta llk: 0.009291 | Time: 0.22 sec
Iteration 39 completed | Delta llk: 0.007138 | Time: 0.19 sec
Iteration 40 completed | Delta llk: 0.005746 | Time: 0.20 sec
Iteration 41 completed | Delta llk: 0.004595 | Time: 0.18 sec
Iteration 42 completed | Delta llk: 0.002320 | Time: 0.04 sec
Iteration 43 completed | Delta llk: 0.003617 | Time: 0.15 sec
Iteration 44 completed | Delta llk: 0.002402 | Time: 0.17 sec
Iteration 45 completed | Delta llk: 0.002137 | Time: 0.14 sec
Iteration 46 completed | Delta llk: 0.001727 | Time: 0.14 sec
Iteration 47 completed | Delta llk: 0.000811 | Time: 0.04 sec
Iteration 48 completed | Delta llk: 0.001386 | Time: 0.18 sec
Iteration 49 completed | Delta llk: 0.001010 | Time: 0.08 sec
Iteration 50 completed | Delta llk: 0.000423 | Time: 0.04 sec
Iteration 51 completed | Delta llk: 0.000854 | Time: 0.17 sec
Iteration 52 completed | Delta llk: 0.000501 | Time: 0.05 sec
Iteration 53 completed | Delta llk: 0.000209 | Time: 0.04 sec
Iteration 54 completed | Delta llk: 0.000485 | Time: 0.11 sec
Iteration 55 completed | Delta llk: 0.000141 | Time: 0.04 sec
Iteration 56 completed | Delta llk: 0.000008 | Time: 0.04 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 9708.547565 | Time: 0.19 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1309.232259 | Time: 1.70 sec
Iteration 3 completed | Delta llk: 212.657405 | Time: 1.55 sec
Iteration 4 completed | Delta llk: 80.497961 | Time: 0.33 sec
Iteration 5 completed | Delta llk: 29.630333 | Time: 0.25 sec
Iteration 6 completed | Delta llk: 10.596853 | Time: 1.10 sec
Iteration 7 completed | Delta llk: 3.986583 | Time: 1.47 sec
Iteration 8 completed | Delta llk: 1.670160 | Time: 0.49 sec
Iteration 9 completed | Delta llk: 0.808789 | Time: 0.29 sec
Iteration 10 completed | Delta llk: 0.453608 | Time: 0.26 sec
Iteration 11 completed | Delta llk: 0.285457 | Time: 0.25 sec
Iteration 12 completed | Delta llk: 0.196297 | Time: 0.25 sec
Iteration 13 completed | Delta llk: 0.142911 | Time: 0.36 sec
Iteration 14 completed | Delta llk: 0.111024 | Time: 0.30 sec
Iteration 15 completed | Delta llk: 0.087322 | Time: 0.24 sec
Iteration 16 completed | Delta llk: 0.063115 | Time: 0.39 sec
Iteration 17 completed | Delta llk: 0.049564 | Time: 0.34 sec
Iteration 18 completed | Delta llk: 0.039339 | Time: 0.36 sec
Iteration 19 completed | Delta llk: 0.031376 | Time: 0.37 sec
Iteration 20 completed | Delta llk: 0.024220 | Time: 0.29 sec
Iteration 21 completed | Delta llk: 0.020353 | Time: 0.24 sec
Iteration 22 completed | Delta llk: 0.016005 | Time: 0.23 sec
Iteration 23 completed | Delta llk: 0.012795 | Time: 0.22 sec
Iteration 24 completed | Delta llk: 0.010334 | Time: 0.23 sec
Iteration 25 completed | Delta llk: 0.008346 | Time: 0.23 sec
Iteration 26 completed | Delta llk: 0.006741 | Time: 0.22 sec
Iteration 27 completed | Delta llk: 0.005364 | Time: 0.18 sec
Iteration 28 completed | Delta llk: 0.002729 | Time: 0.04 sec
Iteration 29 completed | Delta llk: 0.004161 | Time: 0.16 sec
Iteration 30 completed | Delta llk: 0.002389 | Time: 0.10 sec
Iteration 31 completed | Delta llk: 0.002865 | Time: 0.16 sec
Iteration 32 completed | Delta llk: 0.002204 | Time: 0.13 sec
Iteration 33 completed | Delta llk: 0.001037 | Time: 0.04 sec
Iteration 34 completed | Delta llk: 0.000510 | Time: 0.04 sec
Iteration 35 completed | Delta llk: 0.001850 | Time: 0.19 sec
Iteration 36 completed | Delta llk: 0.000818 | Time: 0.05 sec
Iteration 37 completed | Delta llk: 0.000387 | Time: 0.04 sec
Iteration 38 completed | Delta llk: 0.000989 | Time: 0.13 sec
Iteration 39 completed | Delta llk: 0.000523 | Time: 0.08 sec
Iteration 40 completed | Delta llk: 0.000399 | Time: 0.08 sec
Iteration 41 completed | Delta llk: 0.000165 | Time: 0.04 sec
Iteration 42 completed | Delta llk: 0.000463 | Time: 0.16 sec
Iteration 43 completed | Delta llk: 0.000157 | Time: 0.04 sec
Iteration 44 completed | Delta llk: 0.000105 | Time: 0.04 sec
Iteration 45 completed | Delta llk: -0.000059 | Time: 0.04 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 2874.835063 | Time: 0.16 sec
Iteration 3 completed | Delta llk: 28.003793 | Time: 0.25 sec
Iteration 4 completed | Delta llk: 1.265018 | Time: 0.20 sec
Iteration 5 completed | Delta llk: 1.038443 | Time: 0.21 sec
Iteration 6 completed | Delta llk: 0.911827 | Time: 0.23 sec
Iteration 7 completed | Delta llk: 0.842717 | Time: 0.24 sec
Iteration 8 completed | Delta llk: 0.798708 | Time: 0.28 sec
Iteration 9 completed | Delta llk: 0.664107 | Time: 0.29 sec
Iteration 10 completed | Delta llk: 0.529596 | Time: 0.28 sec
Iteration 11 completed | Delta llk: 0.497571 | Time: 0.24 sec
Iteration 12 completed | Delta llk: 0.467304 | Time: 0.35 sec
Iteration 13 completed | Delta llk: 0.458237 | Time: 0.41 sec
Iteration 14 completed | Delta llk: 0.500373 | Time: 0.45 sec
Iteration 15 completed | Delta llk: 0.469247 | Time: 0.28 sec
Iteration 16 completed | Delta llk: 0.527664 | Time: 0.25 sec
Iteration 17 completed | Delta llk: 0.570917 | Time: 0.24 sec
Iteration 18 completed | Delta llk: 0.637101 | Time: 0.24 sec
Iteration 19 completed | Delta llk: 0.728236 | Time: 0.27 sec
Iteration 20 completed | Delta llk: 0.859601 | Time: 0.24 sec
Iteration 21 completed | Delta llk: 1.025743 | Time: 0.27 sec
Iteration 22 completed | Delta llk: 1.238761 | Time: 0.24 sec
Iteration 23 completed | Delta llk: 1.495340 | Time: 0.24 sec
Iteration 24 completed | Delta llk: 1.789403 | Time: 0.29 sec
Iteration 25 completed | Delta llk: 2.145294 | Time: 0.28 sec
Iteration 26 completed | Delta llk: 2.518338 | Time: 0.29 sec
Iteration 27 completed | Delta llk: 2.834526 | Time: 0.27 sec
Iteration 28 completed | Delta llk: 3.171374 | Time: 0.36 sec
Iteration 29 completed | Delta llk: 3.394153 | Time: 0.24 sec
Iteration 30 completed | Delta llk: 3.499395 | Time: 0.25 sec
Iteration 31 completed | Delta llk: 3.506167 | Time: 0.27 sec
Iteration 32 completed | Delta llk: 3.449575 | Time: 0.25 sec
Iteration 33 completed | Delta llk: 3.357850 | Time: 0.25 sec
Iteration 34 completed | Delta llk: 3.230153 | Time: 0.23 sec
Iteration 35 completed | Delta llk: 3.129183 | Time: 0.24 sec
Iteration 36 completed | Delta llk: 3.012551 | Time: 0.23 sec
Iteration 37 completed | Delta llk: 2.923706 | Time: 0.23 sec
Iteration 38 completed | Delta llk: 2.819442 | Time: 0.30 sec
Iteration 39 completed | Delta llk: 2.686341 | Time: 0.22 sec
Iteration 40 completed | Delta llk: 2.569119 | Time: 0.29 sec
Iteration 41 completed | Delta llk: 2.454777 | Time: 0.21 sec
Iteration 42 completed | Delta llk: 2.345745 | Time: 0.23 sec
Iteration 43 completed | Delta llk: 2.234067 | Time: 0.21 sec
Iteration 44 completed | Delta llk: 2.123659 | Time: 0.22 sec
Iteration 45 completed | Delta llk: 2.020887 | Time: 0.35 sec
Iteration 46 completed | Delta llk: -25.015680 | Time: 0.12 sec
Iteration 47 completed | Delta llk: 25.244228 | Time: 0.24 sec
Iteration 48 completed | Delta llk: 4.591328 | Time: 0.32 sec
Iteration 49 completed | Delta llk: 2.414550 | Time: 0.31 sec
Iteration 50 completed | Delta llk: 1.777372 | Time: 0.24 sec
Iteration 51 completed | Delta llk: 1.495176 | Time: 0.24 sec
Iteration 52 completed | Delta llk: 1.394660 | Time: 0.21 sec
Iteration 53 completed | Delta llk: 1.269701 | Time: 0.20 sec
Iteration 54 completed | Delta llk: 1.187280 | Time: 0.20 sec
Iteration 55 completed | Delta llk: 1.113338 | Time: 0.23 sec
Iteration 56 completed | Delta llk: 1.042039 | Time: 0.19 sec
Iteration 57 completed | Delta llk: 0.978899 | Time: 0.20 sec
Iteration 58 completed | Delta llk: 0.914910 | Time: 0.20 sec
Iteration 59 completed | Delta llk: 0.854407 | Time: 0.21 sec
Iteration 60 completed | Delta llk: 0.797284 | Time: 0.20 sec
Iteration 61 completed | Delta llk: 0.741311 | Time: 0.20 sec
Iteration 62 completed | Delta llk: 0.690591 | Time: 0.20 sec
Iteration 63 completed | Delta llk: 0.644680 | Time: 0.20 sec
Iteration 64 completed | Delta llk: 0.600545 | Time: 0.21 sec
Iteration 65 completed | Delta llk: 0.560368 | Time: 0.20 sec
Iteration 66 completed | Delta llk: 0.518502 | Time: 0.18 sec
Iteration 67 completed | Delta llk: 0.481468 | Time: 0.19 sec
Iteration 68 completed | Delta llk: 0.446838 | Time: 0.18 sec
Iteration 69 completed | Delta llk: 0.414487 | Time: 0.18 sec
Iteration 70 completed | Delta llk: 0.384291 | Time: 0.19 sec
Iteration 71 completed | Delta llk: 0.356136 | Time: 0.25 sec
Iteration 72 completed | Delta llk: 0.329896 | Time: 0.29 sec
Iteration 73 completed | Delta llk: 0.305490 | Time: 0.18 sec
Iteration 74 completed | Delta llk: 0.282788 | Time: 0.17 sec
Iteration 75 completed | Delta llk: 0.261691 | Time: 0.27 sec
Iteration 76 completed | Delta llk: 0.242086 | Time: 0.18 sec
Iteration 77 completed | Delta llk: 0.223922 | Time: 0.21 sec
Iteration 78 completed | Delta llk: 0.207088 | Time: 0.19 sec
Iteration 79 completed | Delta llk: 0.191428 | Time: 0.19 sec
Iteration 80 completed | Delta llk: 0.176959 | Time: 0.19 sec
Iteration 81 completed | Delta llk: 0.163546 | Time: 0.19 sec
Iteration 82 completed | Delta llk: 0.151164 | Time: 0.26 sec
Iteration 83 completed | Delta llk: 0.139698 | Time: 0.18 sec
Iteration 84 completed | Delta llk: 0.129055 | Time: 0.18 sec
Iteration 85 completed | Delta llk: 0.119215 | Time: 0.17 sec
Iteration 86 completed | Delta llk: 0.110153 | Time: 0.18 sec
Iteration 87 completed | Delta llk: 0.101776 | Time: 0.19 sec
Iteration 88 completed | Delta llk: 0.094027 | Time: 0.17 sec
