
 START: 1/5 

Iteration 2 completed | Delta llk: 2737.076939 | Time: 3.27 sec
Iteration 3 completed | Delta llk: 238.138957 | Time: 4.58 sec
Iteration 4 completed | Delta llk: 87.433062 | Time: 1.35 sec
Iteration 5 completed | Delta llk: 42.808525 | Time: 1.77 sec
Iteration 6 completed | Delta llk: 29.366011 | Time: 2.74 sec
Iteration 7 completed | Delta llk: 23.781274 | Time: 1.83 sec
Iteration 8 completed | Delta llk: 20.393412 | Time: 1.25 sec
Iteration 9 completed | Delta llk: 16.497960 | Time: 1.23 sec
Iteration 10 completed | Delta llk: 11.436591 | Time: 1.19 sec
Iteration 11 completed | Delta llk: 6.462771 | Time: 1.72 sec
Iteration 12 completed | Delta llk: 3.003475 | Time: 2.75 sec
Iteration 13 completed | Delta llk: 1.219129 | Time: 2.16 sec
Iteration 14 completed | Delta llk: 0.465129 | Time: 1.35 sec
Iteration 15 completed | Delta llk: 0.176194 | Time: 1.44 sec
Iteration 16 completed | Delta llk: 0.068424 | Time: 1.53 sec
Iteration 17 completed | Delta llk: 0.027212 | Time: 1.02 sec
Iteration 18 completed | Delta llk: 0.010482 | Time: 1.07 sec
Iteration 19 completed | Delta llk: 0.004395 | Time: 0.87 sec
Iteration 20 completed | Delta llk: 0.001652 | Time: 0.99 sec
Iteration 21 completed | Delta llk: 0.000569 | Time: 0.96 sec
Iteration 22 completed | Delta llk: 0.000427 | Time: 1.27 sec
Iteration 23 completed | Delta llk: -0.000572 | Time: 0.40 sec
Iteration 24 completed | Delta llk: 0.000691 | Time: 0.74 sec
Iteration 25 completed | Delta llk: -0.000742 | Time: 0.30 sec
Iteration 26 completed | Delta llk: 0.001199 | Time: 0.89 sec
Iteration 27 completed | Delta llk: 0.000037 | Time: 0.99 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 4527.716859 | Time: 3.40 sec
Iteration 3 completed | Delta llk: 162.013325 | Time: 1.03 sec
Iteration 4 completed | Delta llk: 58.442363 | Time: 1.53 sec
Iteration 5 completed | Delta llk: 40.277602 | Time: 1.08 sec
Iteration 6 completed | Delta llk: 24.098999 | Time: 1.03 sec
Iteration 7 completed | Delta llk: 9.934789 | Time: 1.18 sec
Iteration 8 completed | Delta llk: 3.997381 | Time: 1.35 sec
Iteration 9 completed | Delta llk: 2.213999 | Time: 1.61 sec
Iteration 10 completed | Delta llk: 1.669095 | Time: 2.78 sec
Iteration 11 completed | Delta llk: 1.469340 | Time: 1.45 sec
Iteration 12 completed | Delta llk: 1.385599 | Time: 1.06 sec
Iteration 13 completed | Delta llk: 1.343838 | Time: 1.21 sec
Iteration 14 completed | Delta llk: 1.319225 | Time: 1.08 sec
Iteration 15 completed | Delta llk: 1.300833 | Time: 1.08 sec
Iteration 16 completed | Delta llk: 1.287657 | Time: 1.15 sec
Iteration 17 completed | Delta llk: 1.269255 | Time: 1.15 sec
Iteration 18 completed | Delta llk: 1.255055 | Time: 1.13 sec
Iteration 19 completed | Delta llk: 1.235407 | Time: 1.13 sec
Iteration 20 completed | Delta llk: 1.212606 | Time: 1.16 sec
Iteration 21 completed | Delta llk: 1.190178 | Time: 1.13 sec
Iteration 22 completed | Delta llk: 1.167228 | Time: 1.60 sec
Iteration 23 completed | Delta llk: 1.137342 | Time: 3.61 sec
Iteration 24 completed | Delta llk: 1.112023 | Time: 1.36 sec
Iteration 25 completed | Delta llk: 1.074334 | Time: 1.57 sec
Iteration 26 completed | Delta llk: 1.044503 | Time: 1.26 sec
Iteration 27 completed | Delta llk: 1.017217 | Time: 3.44 sec
Iteration 28 completed | Delta llk: 0.975643 | Time: 1.61 sec
Iteration 29 completed | Delta llk: 0.938858 | Time: 1.20 sec
Iteration 30 completed | Delta llk: 0.902744 | Time: 1.18 sec
Iteration 31 completed | Delta llk: 0.885981 | Time: 1.15 sec
Iteration 32 completed | Delta llk: 0.909980 | Time: 1.02 sec
Iteration 33 completed | Delta llk: 0.966505 | Time: 1.02 sec
Iteration 34 completed | Delta llk: 1.045221 | Time: 0.92 sec
Iteration 35 completed | Delta llk: 1.138083 | Time: 0.92 sec
Iteration 36 completed | Delta llk: 1.232951 | Time: 0.96 sec
Iteration 37 completed | Delta llk: 1.324530 | Time: 1.00 sec
Iteration 38 completed | Delta llk: 1.406646 | Time: 1.05 sec
Iteration 39 completed | Delta llk: 1.474107 | Time: 0.94 sec
Iteration 40 completed | Delta llk: 1.520922 | Time: 0.98 sec
Iteration 41 completed | Delta llk: 1.544812 | Time: 0.96 sec
Iteration 42 completed | Delta llk: 1.543352 | Time: 0.93 sec
Iteration 43 completed | Delta llk: 1.515460 | Time: 0.92 sec
Iteration 44 completed | Delta llk: 1.462005 | Time: 0.91 sec
Iteration 45 completed | Delta llk: 1.384267 | Time: 0.93 sec
Iteration 46 completed | Delta llk: 1.286553 | Time: 0.98 sec
Iteration 47 completed | Delta llk: 1.173298 | Time: 0.89 sec
Iteration 48 completed | Delta llk: 1.050285 | Time: 0.79 sec
Iteration 49 completed | Delta llk: 0.923328 | Time: 0.77 sec
Iteration 50 completed | Delta llk: 0.797690 | Time: 0.85 sec
Iteration 51 completed | Delta llk: 0.678059 | Time: 0.75 sec
Iteration 52 completed | Delta llk: 0.567802 | Time: 0.83 sec
Iteration 53 completed | Delta llk: 0.469080 | Time: 0.76 sec
Iteration 54 completed | Delta llk: 0.382844 | Time: 0.73 sec
Iteration 55 completed | Delta llk: 0.309129 | Time: 0.72 sec
Iteration 56 completed | Delta llk: 0.247273 | Time: 0.71 sec
Iteration 57 completed | Delta llk: 0.196187 | Time: 0.73 sec
Iteration 58 completed | Delta llk: 0.154567 | Time: 2.65 sec
Iteration 59 completed | Delta llk: 0.121040 | Time: 2.34 sec
Iteration 60 completed | Delta llk: 0.094294 | Time: 1.19 sec
Iteration 61 completed | Delta llk: 0.073130 | Time: 0.86 sec
Iteration 62 completed | Delta llk: 0.056499 | Time: 0.77 sec
Iteration 63 completed | Delta llk: 0.043503 | Time: 0.71 sec
Iteration 64 completed | Delta llk: 0.033405 | Time: 0.70 sec
Iteration 65 completed | Delta llk: 0.025588 | Time: 0.78 sec
Iteration 66 completed | Delta llk: 0.019553 | Time: 0.79 sec
Iteration 67 completed | Delta llk: 0.014918 | Time: 0.70 sec
Iteration 68 completed | Delta llk: 0.011361 | Time: 0.73 sec
Iteration 69 completed | Delta llk: 0.008646 | Time: 0.76 sec
Iteration 70 completed | Delta llk: 0.006567 | Time: 0.69 sec
Iteration 71 completed | Delta llk: 0.004984 | Time: 0.68 sec
Iteration 72 completed | Delta llk: 0.003779 | Time: 0.67 sec
Iteration 73 completed | Delta llk: 0.002862 | Time: 0.68 sec
Iteration 74 completed | Delta llk: 0.002167 | Time: 0.66 sec
Iteration 75 completed | Delta llk: 0.001639 | Time: 0.68 sec
Iteration 76 completed | Delta llk: 0.001240 | Time: 0.69 sec
Iteration 77 completed | Delta llk: 0.000937 | Time: 0.66 sec
Iteration 78 completed | Delta llk: 0.000708 | Time: 0.66 sec
Iteration 79 completed | Delta llk: 0.000534 | Time: 0.71 sec
Iteration 80 completed | Delta llk: 0.000412 | Time: 1.20 sec
Iteration 81 completed | Delta llk: 0.000302 | Time: 0.67 sec
Iteration 82 completed | Delta llk: 0.000228 | Time: 0.66 sec
Iteration 83 completed | Delta llk: 0.000172 | Time: 0.67 sec
Iteration 84 completed | Delta llk: 0.000130 | Time: 0.68 sec
Iteration 85 completed | Delta llk: 0.000099 | Time: 0.72 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 3329.571948 | Time: 5.47 sec
Iteration 3 completed | Delta llk: 264.139470 | Time: 2.77 sec
Iteration 4 completed | Delta llk: 144.727391 | Time: 1.76 sec
Iteration 5 completed | Delta llk: 84.749444 | Time: 11.55 sec
Iteration 6 completed | Delta llk: 42.831847 | Time: 4.24 sec
Iteration 7 completed | Delta llk: 20.439215 | Time: 1.19 sec
Iteration 8 completed | Delta llk: 9.812575 | Time: 0.96 sec
Iteration 9 completed | Delta llk: 4.778503 | Time: 0.79 sec
Iteration 10 completed | Delta llk: 2.356492 | Time: 2.79 sec
Iteration 11 completed | Delta llk: 1.184565 | Time: 0.99 sec
Iteration 12 completed | Delta llk: 0.607873 | Time: 0.91 sec
Iteration 13 completed | Delta llk: 0.317884 | Time: 1.70 sec
Iteration 14 completed | Delta llk: 0.175316 | Time: 1.23 sec
Iteration 15 completed | Delta llk: 0.089664 | Time: 1.22 sec
Iteration 16 completed | Delta llk: 0.049217 | Time: 0.84 sec
Iteration 17 completed | Delta llk: 0.027553 | Time: 0.77 sec
Iteration 18 completed | Delta llk: 0.015227 | Time: 0.74 sec
Iteration 19 completed | Delta llk: 0.008591 | Time: 1.41 sec
Iteration 20 completed | Delta llk: 0.004782 | Time: 0.81 sec
Iteration 21 completed | Delta llk: 0.002895 | Time: 0.75 sec
Iteration 22 completed | Delta llk: 0.001557 | Time: 0.88 sec
Iteration 23 completed | Delta llk: 0.000860 | Time: 0.88 sec
Iteration 24 completed | Delta llk: 0.000542 | Time: 0.87 sec
Iteration 25 completed | Delta llk: 0.000284 | Time: 0.86 sec
Iteration 26 completed | Delta llk: 0.000158 | Time: 0.82 sec
Iteration 27 completed | Delta llk: 0.000127 | Time: 0.80 sec
Iteration 28 completed | Delta llk: 0.000061 | Time: 0.94 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1421.746672 | Time: 2.38 sec
Iteration 3 completed | Delta llk: 198.912355 | Time: 1.55 sec
Iteration 4 completed | Delta llk: 85.569114 | Time: 3.36 sec
Iteration 5 completed | Delta llk: 47.254647 | Time: 2.07 sec
Iteration 6 completed | Delta llk: 34.256077 | Time: 2.73 sec
Iteration 7 completed | Delta llk: 28.342072 | Time: 0.98 sec
Iteration 8 completed | Delta llk: 21.627166 | Time: 1.23 sec
Iteration 9 completed | Delta llk: 14.323700 | Time: 1.08 sec
Iteration 10 completed | Delta llk: 9.144115 | Time: 4.70 sec
Iteration 11 completed | Delta llk: 6.670251 | Time: 1.21 sec
Iteration 12 completed | Delta llk: 5.799014 | Time: 6.02 sec
Iteration 13 completed | Delta llk: 5.604968 | Time: 4.71 sec
Iteration 14 completed | Delta llk: 5.681202 | Time: 1.01 sec
Iteration 15 completed | Delta llk: 5.885323 | Time: 1.22 sec
Iteration 16 completed | Delta llk: 6.180734 | Time: 1.42 sec
Iteration 17 completed | Delta llk: 6.561719 | Time: 2.69 sec
Iteration 18 completed | Delta llk: 7.038966 | Time: 3.90 sec
Iteration 19 completed | Delta llk: 7.629106 | Time: 1.19 sec
Iteration 20 completed | Delta llk: 8.354667 | Time: 1.62 sec
Iteration 21 completed | Delta llk: 9.247525 | Time: 1.43 sec
Iteration 22 completed | Delta llk: 10.351321 | Time: 2.53 sec
Iteration 23 completed | Delta llk: 11.727391 | Time: 1.03 sec
Iteration 24 completed | Delta llk: 13.463354 | Time: 2.16 sec
Iteration 25 completed | Delta llk: 15.676204 | Time: 1.10 sec
Iteration 26 completed | Delta llk: 18.487605 | Time: 1.27 sec
Iteration 27 completed | Delta llk: 21.912994 | Time: 3.72 sec
Iteration 28 completed | Delta llk: 25.413060 | Time: 1.11 sec
Iteration 29 completed | Delta llk: 27.010703 | Time: 2.64 sec
Iteration 30 completed | Delta llk: 23.433920 | Time: 2.23 sec
Iteration 31 completed | Delta llk: 14.673711 | Time: 1.29 sec
Iteration 32 completed | Delta llk: 6.532020 | Time: 2.04 sec
Iteration 33 completed | Delta llk: 2.388860 | Time: 2.45 sec
Iteration 34 completed | Delta llk: 0.844397 | Time: 0.96 sec
Iteration 35 completed | Delta llk: 0.308700 | Time: 3.55 sec
Iteration 36 completed | Delta llk: 0.118832 | Time: 1.19 sec
Iteration 37 completed | Delta llk: 0.047393 | Time: 1.47 sec
Iteration 38 completed | Delta llk: 0.019905 | Time: 1.24 sec
Iteration 39 completed | Delta llk: 0.007605 | Time: 0.92 sec
Iteration 40 completed | Delta llk: 0.003984 | Time: 1.15 sec
Iteration 41 completed | Delta llk: 0.001388 | Time: 0.96 sec
Iteration 42 completed | Delta llk: -0.000354 | Time: 0.59 sec
Iteration 43 completed | Delta llk: 0.001315 | Time: 1.27 sec
Iteration 44 completed | Delta llk: -0.000571 | Time: 0.53 sec
Iteration 45 completed | Delta llk: 0.000594 | Time: 0.76 sec
Iteration 46 completed | Delta llk: 0.000009 | Time: 0.77 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 5191.771391 | Time: 0.50 sec
Iteration 3 completed | Delta llk: 8.258666 | Time: 0.70 sec
Iteration 4 completed | Delta llk: 5.572704 | Time: 0.69 sec
Iteration 5 completed | Delta llk: 5.269465 | Time: 0.71 sec
Iteration 6 completed | Delta llk: 5.034092 | Time: 0.71 sec
Iteration 7 completed | Delta llk: 4.781142 | Time: 0.70 sec
Iteration 8 completed | Delta llk: 4.479299 | Time: 0.69 sec
Iteration 9 completed | Delta llk: 4.161816 | Time: 0.74 sec
Iteration 10 completed | Delta llk: 3.767789 | Time: 0.69 sec
Iteration 11 completed | Delta llk: 3.354927 | Time: 0.70 sec
Iteration 12 completed | Delta llk: 2.930803 | Time: 0.72 sec
Iteration 13 completed | Delta llk: 2.575911 | Time: 0.73 sec
Iteration 14 completed | Delta llk: 2.241161 | Time: 0.70 sec
Iteration 15 completed | Delta llk: 1.945778 | Time: 0.71 sec
Iteration 16 completed | Delta llk: 1.678389 | Time: 0.70 sec
Iteration 17 completed | Delta llk: 1.441154 | Time: 0.70 sec
Iteration 18 completed | Delta llk: 1.232739 | Time: 0.77 sec
Iteration 19 completed | Delta llk: 1.048591 | Time: 0.68 sec
Iteration 20 completed | Delta llk: 0.895866 | Time: 0.54 sec
Iteration 21 completed | Delta llk: 0.756260 | Time: 0.35 sec
Iteration 22 completed | Delta llk: 0.644157 | Time: 0.57 sec
