
 START: 1/5 

Iteration 2 completed | Delta llk: 2764.954373 | Time: 6.83 sec
Iteration 3 completed | Delta llk: 251.209121 | Time: 3.31 sec
Iteration 4 completed | Delta llk: 86.724348 | Time: 3.93 sec
Iteration 5 completed | Delta llk: 38.218794 | Time: 1.21 sec
Iteration 6 completed | Delta llk: 25.806090 | Time: 1.08 sec
Iteration 7 completed | Delta llk: 22.671612 | Time: 1.55 sec
Iteration 8 completed | Delta llk: 22.464924 | Time: 1.12 sec
Iteration 9 completed | Delta llk: 21.991278 | Time: 1.11 sec
Iteration 10 completed | Delta llk: 18.540579 | Time: 1.39 sec
Iteration 11 completed | Delta llk: 11.814087 | Time: 2.07 sec
Iteration 12 completed | Delta llk: 5.351209 | Time: 4.33 sec
Iteration 13 completed | Delta llk: 1.847505 | Time: 1.38 sec
Iteration 14 completed | Delta llk: 0.564968 | Time: 1.01 sec
Iteration 15 completed | Delta llk: 0.170535 | Time: 3.93 sec
Iteration 16 completed | Delta llk: 0.057392 | Time: 1.18 sec
Iteration 17 completed | Delta llk: 0.018615 | Time: 0.47 sec
Iteration 18 completed | Delta llk: 0.008333 | Time: 0.71 sec
Iteration 19 completed | Delta llk: 0.002304 | Time: 0.28 sec
Iteration 20 completed | Delta llk: 0.000906 | Time: 0.55 sec
Iteration 21 completed | Delta llk: -0.000403 | Time: 0.10 sec
Iteration 22 completed | Delta llk: 0.001480 | Time: 0.64 sec
Iteration 23 completed | Delta llk: 0.000114 | Time: 0.20 sec
Iteration 24 completed | Delta llk: -0.000249 | Time: 0.10 sec
Iteration 25 completed | Delta llk: -0.000333 | Time: 0.25 sec
Iteration 26 completed | Delta llk: -0.000496 | Time: 0.22 sec
Iteration 27 completed | Delta llk: -0.000630 | Time: 0.21 sec
Iteration 28 completed | Delta llk: -0.000752 | Time: 0.11 sec
Iteration 29 completed | Delta llk: -0.000928 | Time: 0.10 sec
Iteration 30 completed | Delta llk: -0.000958 | Time: 0.11 sec
Iteration 31 completed | Delta llk: 0.004392 | Time: 0.80 sec
Iteration 32 completed | Delta llk: 0.000184 | Time: 0.21 sec
Iteration 33 completed | Delta llk: -0.000089 | Time: 0.24 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 4654.918827 | Time: 6.82 sec
Iteration 3 completed | Delta llk: 189.424085 | Time: 0.85 sec
Iteration 4 completed | Delta llk: 104.627829 | Time: 2.94 sec
Iteration 5 completed | Delta llk: 111.564915 | Time: 2.13 sec
Iteration 6 completed | Delta llk: 114.482020 | Time: 3.17 sec
Iteration 7 completed | Delta llk: 128.940378 | Time: 6.54 sec
Iteration 8 completed | Delta llk: 101.100562 | Time: 5.39 sec
Iteration 9 completed | Delta llk: 37.325574 | Time: 2.81 sec
Iteration 10 completed | Delta llk: 11.783925 | Time: 1.15 sec
Iteration 11 completed | Delta llk: 4.825599 | Time: 1.06 sec
Iteration 12 completed | Delta llk: 2.144903 | Time: 1.10 sec
Iteration 13 completed | Delta llk: 0.938643 | Time: 1.67 sec
Iteration 14 completed | Delta llk: 0.400917 | Time: 1.23 sec
Iteration 15 completed | Delta llk: 0.167004 | Time: 1.20 sec
Iteration 16 completed | Delta llk: 0.070290 | Time: 3.49 sec
Iteration 17 completed | Delta llk: 0.029200 | Time: 1.05 sec
Iteration 18 completed | Delta llk: 0.011842 | Time: 0.79 sec
Iteration 19 completed | Delta llk: 0.004515 | Time: 0.79 sec
Iteration 20 completed | Delta llk: 0.001874 | Time: 0.74 sec
Iteration 21 completed | Delta llk: -0.000327 | Time: 0.10 sec
Iteration 22 completed | Delta llk: 0.002224 | Time: 0.75 sec
Iteration 23 completed | Delta llk: -0.000146 | Time: 0.21 sec
Iteration 24 completed | Delta llk: -0.000343 | Time: 0.22 sec
Iteration 25 completed | Delta llk: -0.000482 | Time: 0.22 sec
Iteration 26 completed | Delta llk: -0.000267 | Time: 0.38 sec
Iteration 27 completed | Delta llk: 0.001467 | Time: 0.75 sec
Iteration 28 completed | Delta llk: -0.000138 | Time: 0.20 sec
Iteration 29 completed | Delta llk: -0.000306 | Time: 0.20 sec
Iteration 30 completed | Delta llk: -0.000489 | Time: 0.10 sec
Iteration 31 completed | Delta llk: 0.000942 | Time: 0.94 sec
Iteration 32 completed | Delta llk: -0.000201 | Time: 0.21 sec
Iteration 33 completed | Delta llk: -0.000395 | Time: 0.20 sec
Iteration 34 completed | Delta llk: -0.000540 | Time: 0.30 sec
Iteration 35 completed | Delta llk: -0.000648 | Time: 0.21 sec
Iteration 36 completed | Delta llk: -0.000800 | Time: 0.13 sec
Iteration 37 completed | Delta llk: 0.002370 | Time: 0.59 sec
Iteration 38 completed | Delta llk: 0.000046 | Time: 0.10 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 3296.514830 | Time: 2.57 sec
Iteration 3 completed | Delta llk: 223.100311 | Time: 1.09 sec
Iteration 4 completed | Delta llk: 166.136714 | Time: 2.41 sec
Iteration 5 completed | Delta llk: 94.572051 | Time: 2.09 sec
Iteration 6 completed | Delta llk: 46.574970 | Time: 2.27 sec
Iteration 7 completed | Delta llk: 22.759188 | Time: 3.06 sec
Iteration 8 completed | Delta llk: 11.177699 | Time: 0.97 sec
Iteration 9 completed | Delta llk: 5.409758 | Time: 0.90 sec
Iteration 10 completed | Delta llk: 2.628929 | Time: 2.76 sec
Iteration 11 completed | Delta llk: 1.295041 | Time: 3.39 sec
Iteration 12 completed | Delta llk: 0.649409 | Time: 0.96 sec
Iteration 13 completed | Delta llk: 0.331250 | Time: 0.83 sec
Iteration 14 completed | Delta llk: 0.171462 | Time: 2.11 sec
Iteration 15 completed | Delta llk: 0.089841 | Time: 2.64 sec
Iteration 16 completed | Delta llk: 0.047526 | Time: 0.90 sec
Iteration 17 completed | Delta llk: 0.025345 | Time: 0.81 sec
Iteration 18 completed | Delta llk: 0.013591 | Time: 0.84 sec
Iteration 19 completed | Delta llk: 0.007346 | Time: 1.49 sec
Iteration 20 completed | Delta llk: 0.003974 | Time: 0.85 sec
Iteration 21 completed | Delta llk: 0.002158 | Time: 0.78 sec
Iteration 22 completed | Delta llk: 0.001176 | Time: 0.80 sec
