
 START: 1/5 

Iteration 2 completed | Delta llk: 13240.335655 | Time: 0.24 sec
 START: 2/5 

Iteration 2 completed | Delta llk: 883.129899 | Time: 2.13 sec
Iteration 3 completed | Delta llk: 99.929983 | Time: 0.27 sec
Iteration 4 completed | Delta llk: 49.621134 | Time: 0.30 sec
Iteration 5 completed | Delta llk: 21.138335 | Time: 0.24 sec
Iteration 6 completed | Delta llk: 8.119597 | Time: 0.24 sec
Iteration 7 completed | Delta llk: 3.454590 | Time: 0.22 sec
Iteration 8 completed | Delta llk: 2.152874 | Time: 2.04 sec
Iteration 9 completed | Delta llk: 1.962141 | Time: 1.16 sec
Iteration 10 completed | Delta llk: 2.097919 | Time: 1.11 sec
Iteration 11 completed | Delta llk: 2.305865 | Time: 1.31 sec
Iteration 12 completed | Delta llk: 2.486927 | Time: 1.62 sec
Iteration 13 completed | Delta llk: 2.589650 | Time: 1.84 sec
Iteration 14 completed | Delta llk: 2.584736 | Time: 1.78 sec
Iteration 15 completed | Delta llk: 2.460416 | Time: 1.41 sec
Iteration 16 completed | Delta llk: 2.234674 | Time: 0.97 sec
Iteration 17 completed | Delta llk: 1.940921 | Time: 0.57 sec
Iteration 18 completed | Delta llk: 1.625282 | Time: 0.40 sec
Iteration 19 completed | Delta llk: 1.325085 | Time: 0.31 sec
Iteration 20 completed | Delta llk: 1.062640 | Time: 0.27 sec
Iteration 21 completed | Delta llk: 0.845518 | Time: 0.37 sec
Iteration 22 completed | Delta llk: 0.671642 | Time: 0.28 sec
Iteration 23 completed | Delta llk: 0.534523 | Time: 0.24 sec
Iteration 24 completed | Delta llk: 0.426833 | Time: 0.33 sec
Iteration 25 completed | Delta llk: 0.342078 | Time: 0.29 sec
Iteration 26 completed | Delta llk: 0.278037 | Time: 0.27 sec
Iteration 27 completed | Delta llk: 0.224582 | Time: 1.56 sec
Iteration 28 completed | Delta llk: 0.177097 | Time: 0.67 sec
Iteration 29 completed | Delta llk: 0.147601 | Time: 0.47 sec
Iteration 30 completed | Delta llk: 0.122213 | Time: 0.34 sec
Iteration 31 completed | Delta llk: 0.096479 | Time: 1.71 sec
Iteration 32 completed | Delta llk: 0.078088 | Time: 0.97 sec
Iteration 33 completed | Delta llk: 0.063493 | Time: 0.52 sec
Iteration 34 completed | Delta llk: 0.051719 | Time: 0.36 sec
Iteration 35 completed | Delta llk: 0.042120 | Time: 0.35 sec
Iteration 36 completed | Delta llk: 0.021384 | Time: 0.05 sec
Iteration 37 completed | Delta llk: 0.033391 | Time: 0.47 sec
Iteration 38 completed | Delta llk: 0.023099 | Time: 0.34 sec
Iteration 39 completed | Delta llk: 0.019174 | Time: 0.23 sec
Iteration 40 completed | Delta llk: 0.015519 | Time: 0.23 sec
Iteration 41 completed | Delta llk: 0.012653 | Time: 0.24 sec
Iteration 42 completed | Delta llk: 0.010571 | Time: 0.18 sec
Iteration 43 completed | Delta llk: 0.005924 | Time: 0.05 sec
Iteration 44 completed | Delta llk: 0.007959 | Time: 0.14 sec
Iteration 45 completed | Delta llk: 0.006050 | Time: 0.13 sec
Iteration 46 completed | Delta llk: 0.004523 | Time: 0.13 sec
Iteration 47 completed | Delta llk: 0.003668 | Time: 0.12 sec
Iteration 48 completed | Delta llk: 0.002954 | Time: 0.15 sec
Iteration 49 completed | Delta llk: 0.001553 | Time: 0.04 sec
Iteration 50 completed | Delta llk: 0.002438 | Time: 0.13 sec
Iteration 51 completed | Delta llk: 0.001619 | Time: 0.10 sec
Iteration 52 completed | Delta llk: 0.000625 | Time: 0.04 sec
Iteration 53 completed | Delta llk: 0.000424 | Time: 0.04 sec
Iteration 54 completed | Delta llk: 0.000326 | Time: 0.04 sec
Iteration 55 completed | Delta llk: 0.000119 | Time: 0.04 sec
Iteration 56 completed | Delta llk: 0.001256 | Time: 0.15 sec
Iteration 57 completed | Delta llk: 0.000303 | Time: 0.04 sec
Iteration 58 completed | Delta llk: 0.000594 | Time: 0.09 sec
Iteration 59 completed | Delta llk: 0.000183 | Time: 0.05 sec
Iteration 60 completed | Delta llk: 0.000117 | Time: 0.05 sec
Iteration 61 completed | Delta llk: 0.000101 | Time: 0.05 sec
Iteration 62 completed | Delta llk: 0.000089 | Time: 0.05 sec
 START: 3/5 

Iteration 2 completed | Delta llk: 9682.684940 | Time: 0.17 sec
 START: 4/5 

Iteration 2 completed | Delta llk: 1305.163783 | Time: 3.56 sec
Iteration 3 completed | Delta llk: 202.933528 | Time: 0.31 sec
Iteration 4 completed | Delta llk: 77.090205 | Time: 0.31 sec
Iteration 5 completed | Delta llk: 29.183253 | Time: 0.24 sec
Iteration 6 completed | Delta llk: 10.428205 | Time: 2.51 sec
Iteration 7 completed | Delta llk: 3.776442 | Time: 1.70 sec
Iteration 8 completed | Delta llk: 1.500466 | Time: 1.20 sec
Iteration 9 completed | Delta llk: 0.695455 | Time: 0.33 sec
Iteration 10 completed | Delta llk: 0.378417 | Time: 0.25 sec
Iteration 11 completed | Delta llk: 0.238284 | Time: 0.52 sec
Iteration 12 completed | Delta llk: 0.164509 | Time: 0.24 sec
Iteration 13 completed | Delta llk: 0.121530 | Time: 0.33 sec
Iteration 14 completed | Delta llk: 0.095443 | Time: 0.21 sec
Iteration 15 completed | Delta llk: 0.073801 | Time: 0.26 sec
Iteration 16 completed | Delta llk: 0.058351 | Time: 0.26 sec
Iteration 17 completed | Delta llk: 0.045537 | Time: 0.24 sec
Iteration 18 completed | Delta llk: 0.039090 | Time: 0.32 sec
Iteration 19 completed | Delta llk: 0.031168 | Time: 0.24 sec
Iteration 20 completed | Delta llk: 0.026135 | Time: 0.20 sec
Iteration 21 completed | Delta llk: 0.019895 | Time: 0.22 sec
Iteration 22 completed | Delta llk: 0.017388 | Time: 0.19 sec
Iteration 23 completed | Delta llk: 0.013028 | Time: 0.22 sec
Iteration 24 completed | Delta llk: 0.007098 | Time: 0.04 sec
Iteration 25 completed | Delta llk: 0.010799 | Time: 0.25 sec
Iteration 26 completed | Delta llk: 0.007405 | Time: 0.17 sec
Iteration 27 completed | Delta llk: 0.006431 | Time: 0.16 sec
Iteration 28 completed | Delta llk: 0.005190 | Time: 0.16 sec
Iteration 29 completed | Delta llk: 0.002684 | Time: 0.04 sec
Iteration 30 completed | Delta llk: 0.004121 | Time: 0.20 sec
Iteration 31 completed | Delta llk: 0.003093 | Time: 0.12 sec
Iteration 32 completed | Delta llk: 0.001475 | Time: 0.05 sec
Iteration 33 completed | Delta llk: 0.002296 | Time: 0.14 sec
Iteration 34 completed | Delta llk: 0.001221 | Time: 0.04 sec
Iteration 35 completed | Delta llk: 0.000778 | Time: 0.08 sec
Iteration 36 completed | Delta llk: 0.000588 | Time: 0.08 sec
Iteration 37 completed | Delta llk: 0.000830 | Time: 0.10 sec
Iteration 38 completed | Delta llk: 0.000282 | Time: 0.04 sec
Iteration 39 completed | Delta llk: 0.000182 | Time: 0.04 sec
Iteration 40 completed | Delta llk: 0.000154 | Time: 0.04 sec
Iteration 41 completed | Delta llk: 0.000135 | Time: 0.04 sec
Iteration 42 completed | Delta llk: 0.000046 | Time: 0.04 sec
 START: 5/5 

Iteration 2 completed | Delta llk: 2968.443298 | Time: 0.21 sec
Iteration 3 completed | Delta llk: 48.061938 | Time: 0.16 sec
Iteration 4 completed | Delta llk: 1.457255 | Time: 0.21 sec
Iteration 5 completed | Delta llk: 1.036186 | Time: 0.21 sec
Iteration 6 completed | Delta llk: 0.847948 | Time: 0.21 sec
Iteration 7 completed | Delta llk: 0.802296 | Time: 0.21 sec
Iteration 8 completed | Delta llk: 0.903567 | Time: 0.20 sec
Iteration 9 completed | Delta llk: 1.189176 | Time: 0.23 sec
Iteration 10 completed | Delta llk: 1.732697 | Time: 0.17 sec
Iteration 11 completed | Delta llk: 2.649590 | Time: 0.17 sec
Iteration 12 completed | Delta llk: 4.092198 | Time: 0.18 sec
Iteration 13 completed | Delta llk: 6.202013 | Time: 0.18 sec
Iteration 14 completed | Delta llk: 9.000899 | Time: 0.19 sec
Iteration 15 completed | Delta llk: 12.196775 | Time: 0.23 sec
Iteration 16 completed | Delta llk: 10.435756 | Time: 0.28 sec
Iteration 17 completed | Delta llk: 7.788932 | Time: 0.24 sec
Iteration 18 completed | Delta llk: 6.695225 | Time: 0.31 sec
Iteration 19 completed | Delta llk: 5.949811 | Time: 0.24 sec
Iteration 20 completed | Delta llk: 5.324933 | Time: 0.23 sec
Iteration 21 completed | Delta llk: 4.770925 | Time: 0.23 sec
Iteration 22 completed | Delta llk: 4.284865 | Time: 0.23 sec
Iteration 23 completed | Delta llk: 3.854472 | Time: 0.25 sec
Iteration 24 completed | Delta llk: 3.472720 | Time: 0.28 sec
Iteration 25 completed | Delta llk: 3.129792 | Time: 0.28 sec
Iteration 26 completed | Delta llk: 2.830626 | Time: 0.23 sec
Iteration 27 completed | Delta llk: 2.564143 | Time: 0.34 sec
Iteration 28 completed | Delta llk: 2.327367 | Time: 0.27 sec
Iteration 29 completed | Delta llk: 2.114316 | Time: 0.26 sec
Iteration 30 completed | Delta llk: 1.927445 | Time: 0.24 sec
Iteration 31 completed | Delta llk: 1.759357 | Time: 0.24 sec
Iteration 32 completed | Delta llk: 1.605878 | Time: 0.29 sec
Iteration 33 completed | Delta llk: 1.466067 | Time: 0.24 sec
Iteration 34 completed | Delta llk: 1.342648 | Time: 0.24 sec
Iteration 35 completed | Delta llk: 1.229537 | Time: 0.25 sec
Iteration 36 completed | Delta llk: 1.127056 | Time: 0.25 sec
Iteration 37 completed | Delta llk: 1.058304 | Time: 0.23 sec
Iteration 38 completed | Delta llk: 0.949254 | Time: 0.25 sec
Iteration 39 completed | Delta llk: 0.872387 | Time: 0.22 sec
Iteration 40 completed | Delta llk: 0.802784 | Time: 0.24 sec
Iteration 41 completed | Delta llk: 0.739014 | Time: 0.24 sec
Iteration 42 completed | Delta llk: 0.680779 | Time: 0.23 sec
Iteration 43 completed | Delta llk: 0.627110 | Time: 0.19 sec
Iteration 44 completed | Delta llk: 0.578523 | Time: 0.19 sec
Iteration 45 completed | Delta llk: 0.534078 | Time: 0.20 sec
Iteration 46 completed | Delta llk: 0.493381 | Time: 0.20 sec
Iteration 47 completed | Delta llk: 0.456076 | Time: 0.20 sec
Iteration 48 completed | Delta llk: 0.421836 | Time: 0.29 sec
Iteration 49 completed | Delta llk: 0.390423 | Time: 0.19 sec
Iteration 50 completed | Delta llk: 0.361574 | Time: 0.19 sec
Iteration 51 completed | Delta llk: 0.335060 | Time: 0.20 sec
Iteration 52 completed | Delta llk: 0.310733 | Time: 0.17 sec
Iteration 53 completed | Delta llk: 0.288221 | Time: 0.17 sec
Iteration 54 completed | Delta llk: 0.267554 | Time: 0.18 sec
Iteration 55 completed | Delta llk: 0.248490 | Time: 0.18 sec
Iteration 56 completed | Delta llk: 0.230888 | Time: 0.17 sec
Iteration 57 completed | Delta llk: 0.214744 | Time: 0.20 sec
Iteration 58 completed | Delta llk: 0.199758 | Time: 0.20 sec
Iteration 59 completed | Delta llk: 0.185907 | Time: 0.20 sec
Iteration 60 completed | Delta llk: 0.173127 | Time: 0.18 sec
Iteration 61 completed | Delta llk: 0.161286 | Time: 0.18 sec
Iteration 62 completed | Delta llk: 0.150316 | Time: 0.20 sec
Iteration 63 completed | Delta llk: 0.140160 | Time: 0.20 sec
Iteration 64 completed | Delta llk: 0.130749 | Time: 0.20 sec
Iteration 65 completed | Delta llk: 0.122023 | Time: 0.20 sec
Iteration 66 completed | Delta llk: 0.113928 | Time: 0.19 sec
Iteration 67 completed | Delta llk: 0.106415 | Time: 0.19 sec
Iteration 68 completed | Delta llk: 0.099437 | Time: 0.19 sec
Iteration 69 completed | Delta llk: 0.092955 | Time: 0.18 sec
Iteration 70 completed | Delta llk: 0.086926 | Time: 0.19 sec
Iteration 71 completed | Delta llk: 0.081319 | Time: 0.21 sec
Iteration 72 completed | Delta llk: 0.076103 | Time: 0.21 sec
Iteration 73 completed | Delta llk: 0.071240 | Time: 0.18 sec
Iteration 74 completed | Delta llk: 0.066729 | Time: 0.19 sec
Iteration 75 completed | Delta llk: 0.062508 | Time: 0.18 sec
Iteration 76 completed | Delta llk: 0.058577 | Time: 0.19 sec
Iteration 77 completed | Delta llk: 0.054912 | Time: 0.19 sec
Iteration 78 completed | Delta llk: 0.051492 | Time: 0.20 sec
Iteration 79 completed | Delta llk: 0.048300 | Time: 0.18 sec
Iteration 80 completed | Delta llk: 0.045319 | Time: 0.19 sec
Iteration 81 completed | Delta llk: 0.042534 | Time: 0.18 sec
Iteration 82 completed | Delta llk: 0.039932 | Time: 0.19 sec
Iteration 83 completed | Delta llk: 0.037499 | Time: 0.18 sec
Iteration 84 completed | Delta llk: 0.035224 | Time: 0.18 sec
Iteration 85 completed | Delta llk: 0.033095 | Time: 0.18 sec
